"";"nombre";"comuna";"calle";"clase";"lon";"lat"
"1";"Tenencia de Reñaca";"Viña del Mar";"Bellavista";"Tenencia";-71,5425863;-70,7353505
"2";"Tenencia Carretera Paine";"Paine";"Ruta 5 Sur KM 53";"Tenencia";-71,5425863;-70,7353505
"3";"65 Comisaría de Pirque";"Pirque";"Avenida Concha y Toro";"Comisaría";-71,5425863;-70,7353505
"4";"Subcomisaria San José de Maipo";"San José de Maipo";"Camino al Volcán";"Subcomisaría";-71,5425863;-70,7353505
"5";"17 Comisaría Las Condes";"Las Condes";"Las Tranqueras";"Comisaría";-71,5425863;-70,7353505
"6";"Subcomisaria Pirque";"Pirque";NA;"Subcomisaría";-71,5425863;-70,7353505
"7";"Reten Central Rapel";NA;NA;"Retén";-71,5425863;-70,7353505
"8";"Retén laguna verde";"Valparaíso";"Avenida Principal";"Retén";-71,5425863;-70,7353505
"9";"Tenencia Nueva Aurora";"Valparaíso";"Variante Agua Santa";"Tenencia";-71,5425863;-70,7353505
"10";"Tenencia Recreo";NA;NA;"Tenencia";-71,5425863;-70,7353505
"11";"Tenencia Carretera Melipilla";"El Monte";"Caletera Ruta 78 KM 50";"Tenencia";-71,5425863;-70,7353505
"12";"24 Comisaría Melipilla";"Melipilla";"Ortúzar";"Comisaría";-71,5425863;-70,7353505
"13";"Tenencia El Salto";NA;"Avenida El Salto";"Tenencia";-71,5425863;-70,7353505
"14";"Tenencia Las Cruces";"Las Cruces";"Avenida Errázuriz";"Tenencia";-71,5425863;-70,7353505
"15";"8 Comisaria Colina";"Colina";"General San Martín";"Comisaría";-71,5425863;-70,7353505
"16";"Primera Comisaría Sur Valparaíso";"Valparaíso";"Aguayo";"Comisaría";-71,5425863;-70,7353505
"17";"Tenencia Carretera Curacavi";"Curacaví";"Ruta 68";"Tenencia";-71,5425863;-70,7353505
"18";"47 Comisaría Los Dominicos";"Las Condes";"Camino El Alba";"Comisaría";-71,5425863;-70,7353505
"19";"3 Comisaría Algarrobo";"Algarrobo";"Carabineros De Chile";"Comisaría";-71,5425863;-70,7353505
"20";"53 Comisaría Lo Barnechea";"Lo Barnechea";"Avenida Lo Barnechea";"Comisaría";-71,5425863;-70,7353505
"21";"Retén Huelquén";"Paine";"Avenida El Mariscal - Camino Padre Hurtado - Cuesta Chada";"Retén";-71,5425863;-70,7353505
"22";"Retén Pintue";NA;"Cruce Ruta 5 (Champa) - Melipilla (Puente Ingenierio Marambio Antiguo)";"Retén";-71,5425863;-70,7353505
"23";"Retén Lo Miranda";"Donihue";"Pedro de Miranda";"Retén";-71,5425863;-70,7353505
"24";"Subcomisaría Requínoa";"Requinoa";"Caupolicán";"Subcomisaría";-71,5425863;-70,7353505
"25";"Reten Cuncumen";"San Antonio";"Ruta G-800";"Retén";-71,5425863;-70,7353505
"26";"Subcomisaría carretera Cachapoal";"Olivar";"Ruta Travesía";"Subcomisaría";-71,5425863;-70,7353505
"27";"Subcomisaría Maipú Oriente";"Maipú";"Avenida Parque Central Oriente";"Subcomisaría";-71,5425863;-70,7353505
"28";"Tenencia José Santos Ossa";NA;NA;"Tenencia";-71,5425863;-70,7353505
"29";"Reten La Punta";"Mostazal";"Sector La Punta";"Retén";-71,5425863;-70,7353505
"30";"Subcomisaria Las Vizcachas";"Puente Alto";"Camino El Volcan";"Subcomisaría";-71,5425863;-70,7353505
"31";"3 Comisaría Norte Valparaíso";"Valparaíso";"Guacolda";"Comisaría";-71,5425863;-70,7353505
"32";"Tenencia Santa Rosa de Chena";"Padre Hurtado";"Tenencia de Carabineros Jaime Saenz Neira";"Tenencia";-71,5425863;-70,7353505
"33";"36 Comisaría La Florida";"La Florida";"Doctor Sótero del Río";"Comisaría";-71,5425863;-70,7353505
"34";"62 Comisaría San Bernardo";"San Bernardo";"Avenida Colón";"Comisaría";-71,5425863;-70,7353505
"35";"Tenencia Lo Sierra";"Lo Espejo";"Avenida Lo Espejo";"Tenencia";-71,5425863;-70,7353505
"36";"Primera Comisaría San Antonio";"San Antonio";"La Marina";"Comisaría";-71,5425863;-70,7353505
"37";"Subcomisaria Llo-Lleo";"San Antonio";"Mexico";"Subcomisaría";-71,5425863;-70,7353505
"38";"3 Comisaría Santiago";"Santiago";"Elias Fernandez Albano";"Comisaría";-71,5425863;-70,7353505
"39";"Prefectura Fuerzas Especiales";"Santiago";"San Isidro";"Prefectura";-71,5425863;-70,7353505
"40";"Subcomisaría Placilla Peñuelas";"Valparaíso";"Avenida Cardenal Samoré";"Subcomisaría";-71,5425863;-70,7353505
"41";"Subcomisaría Los Jardines";"La Florida";"Avenida La Florida";"Subcomisaría";-71,5425863;-70,7353505
"42";"Tenencia Nueva España";"La cisterna";"Avenida Industrias";"Tenencia";-71,5425863;-70,7353505
"43";"Retén Pomaire";NA;NA;"Retén";-71,5425863;-70,7353505
"44";"14 Comisaría San Bernardo";"San Bernardo";"O'Higgins Oriente";"Comisaría";-71,5425863;-70,7353505
"45";"Ex Retén Policial";NA;NA;"Retén";-71,5425863;-70,7353505
"46";"13 Comisaría La Granja";"La Granja";"Padre Juan Meyer";"Comisaría";-71,5425863;-70,7353505
"47";"23 Comisaría Talagante";"Talagante";"San Francisco";"Comisaría";-71,5425863;-70,7353505
"48";"10 Comisaría La Cisterna";"La Cisterna";"José Miguel Carrera";"Comisaría";-71,5425863;-70,7353505
"49";"5 Comisaría Casablanca";"Casablanca";"Membrillar";"Comisaría";-71,5425863;-70,7353505
"50";"Prefectura Santiago Sur";"La Cisterna";"Gran Avenida José Miguel Carrera";"Prefectura";-71,5425863;-70,7353505
"51";"2 Comisaria Cartagena";"Cartagena";"Avenida Cartagena";"Comisaría";-71,5425863;-70,7353505
"52";"Tenencia El Tabo";"El Tabo";"Centenario";"Tenencia";-71,5425863;-70,7353505
"53";"Tenencia Rodelillo";NA;"Avenida Rodelillo";"Tenencia";-71,5425863;-70,7353505
"54";"2 Comisaría Central Valparaíso";"Valparaíso";"Avenida Colón";"Comisaría";-71,5425863;-70,7353505
"55";"Tenencia Coinco";"Coinco";"Avenida Bernardo O'Higgins";"Tenencia";-71,5425863;-70,7353505
"56";"Subcomisaría Machalí";"Machalí";"Arturo Prat";"Subcomisaría";-71,5425863;-70,7353505
"57";"Prefectura Cachapoal Nº 11";"Rancagua";"Santiago Bueras";"Prefectura";-71,5425863;-70,7353505
"58";"Subcomisaria San Francisco de Mostazal";"San Francisco de Mostazal";"San Guillermo";"Subcomisaría";-71,5425863;-70,7353505
"59";"Subcomisaría Doñihue";"Doñihue";"Avenida Rancagua";"Subcomisaría";-71,5425863;-70,7353505
"60";"Reten Los Lirios";"Requinoa";"Rancagua";"Retén";-71,5425863;-70,7353505
"61";"Retén La Estrella";NA;NA;"Retén";-71,5425863;-70,7353505
"62";"Retén Loica";NA;"RUTA G-690";"Retén";-71,5425863;-70,7353505
"63";"Subcomisaria Maipo";"Buin";"García";"Subcomisaría";-71,5425863;-70,7353505
"64";"Subcomisaría Cerrillos";"Cerrillos";"Buzeta";"Subcomisaría";-71,5425863;-70,7353505
"65";"34 Comisaría Vista Alegre";"Cerrillos";"Avenida Las Torres";"Comisaría";-71,5425863;-70,7353505
"66";"5 Comisaría Conchalí";"Conchalí";"Avenida General Gambino";"Comisaría";-71,5425863;-70,7353505
"67";"39 Comisaria El Bosque";"El Bosque";"Los Raulies";"Comisaría";-71,5425863;-70,7353505
"68";"58 Comisaría Población Alessandri";"Estación Central";"Antártica";"Comisaría";-71,5425863;-70,7353505
"69";"Prefectura Radiopatrullas e Intervención Policial";"Independencia";"Carrión";"Prefectura";-71,5425863;-70,7353505
"70";"30ª Comisaría Radiopatrullas";"Independencia";"Carrión";"Comisaría";-71,5425863;-70,7353505
"71";"Subcomisaría Carreteras";"Independencia";"Carrión";"Subcomisaría";-71,5425863;-70,7353505
"72";"9 Comisaría Independencia";"Independencia";"Hipódromo Chile";"Comisaría";-71,5425863;-70,7353505
"73";"61 Comisaría Cabo 2 Pablo Silva";"La Florida";"Avenida Departamental";"Comisaría";-71,5425863;-70,7353505
"74";"Subcomisaría Parque Brasil";"La Granja";"Sebastopol";"Subcomisaría";-71,5425863;-70,7353505
"75";"41 Comisaría La Pintana";"La Pintana";"Baldomero Lillo";"Comisaría";-71,5425863;-70,7353505
"76";"Subcomisaria Servicios Diplomáticos";"Las Condes";"Camino El Alba";"Subcomisaría";-71,5425863;-70,7353505
"77";"40 Comisaría Fuerzas Especiales";"Lo Espejo";"Cardenal José María Caro";"Comisaría";-71,5425863;-70,7353505
"78";"7a Comisaría Fuerzas Especiales Valparaíso";"Valparaíso";"José Santos Ossa";"Comisaría";-71,5425863;-70,7353505
"79";"8 Comisaría Florida Valparaíso";"Valparaíso";"Mariano Sarratea";"Comisaría";-71,5425863;-70,7353505
"80";"28 Comisaría Fuerzas Especiales";"Santiago";"San Isidro";"Comisaría";-71,5425863;-70,7353505
"81";"32 Comisaría del Tránsito";"Santiago";"Santo Domingo";"Comisaría";-71,5425863;-70,7353505
"82";"1 Comisaría Santiago";"Santiago";"Santo Domingo";"Comisaría";-71,5425863;-70,7353505
"83";"Prefectura San Antonio";"San Antonio";"La Marina";"Prefectura";-71,5425863;-70,7353505
"84";"S.I.P. 1° Comisaria San Antonio";"San Antonio";"Mexico";"Comisaría";-71,5425863;-70,7353505
"85";"Subcomisaria Carrascal";"Quinta Normal";"Embajador Gómez";"Subcomisaría";-71,5425863;-70,7353505
"86";"6 Comisaria Recoleta";"Recoleta";"Gavilán";"Comisaría";-71,5425863;-70,7353505
"87";"Prefectura Stgo. Occidente";"Pudahuel";"Avenida Teniente Cruz";"Prefectura";-71,5425863;-70,7353505
"88";"26 Comisaría Pudahuel";"Pudahuel";"Avenida Teniente Cruz";"Comisaría";-71,5425863;-70,7353505
"89";"55 Comisaría del Suboficial Cristian Vera Contreras";"Pudahuel";"Oceanía";"Comisaría";-71,5425863;-70,7353505
"90";"56 Comisaria Peñaflor";"Peñaflor";"18 De Septiembre";"Comisaría";-71,5425863;-70,7353505
"91";"43 Comisaría Peñalolén";"Peñalolen";"Avenida Consistorial";"Comisaría";-71,5425863;-70,7353505
"92";"64 Comisaría Paine";"Paine";"Avenida 18 de Septiembre";"Comisaría";-71,5425863;-70,7353505
"93";"18 Comisaría Ñuñoa";"Ñuñoa";"General Director José Bernales Ramírez";"Comisaría";-71,5425863;-70,7353505
"94";"Prefectura Norte";"Conchalí";"Avenida General Gambino";"Prefectura";-71,5425863;-70,7353505
"95";"Prefectura Viña del Mar";"Viña del Mar";"4 Norte";"Prefectura";-71,5425863;-70,7353505
"96";"Prefectura Santiago Oriente";"Ñuñoa";"General Director José Bernales Ramírez";"Prefectura";-71,5425863;-70,7353505
"97";"Prefectura Santiago Cordillera";"Puente Alto";"Concha y Toro";"Prefectura";-71,5425863;-70,7353505
"98";"Retén Linderos";NA;"Francisco Javier Krugger";"Retén";-71,5425863;-70,7353505
"99";"TENENCIA VILLA ALHUE";NA;NA;"Tenencia";-71,5425863;-70,7353505
"100";"Tenencia Juan Antonio Rios";"Independencia";"Sara Gajardo";"Tenencia";-71,5425863;-70,7353505
"101";"Retén La Islita";"Isla de Maipo";"Balmaceda";"Retén";-71,5425863;-70,7353505
"102";"Tenencia Malloco";"Peñaflor";"Avenida Balmaceda";"Tenencia";-71,5425863;-70,7353505
"103";"Subcomisaria Recoleta Sur";"Recoleta";"Davila Baeza";"Subcomisaría";-71,5425863;-70,7353505
"104";"29 Comisaría Fuerzas Especiales";"Santiago";NA;"Comisaría";-71,5425863;-70,7353505
"105";"Tenencia El Manzano";"Las Cabras";"Avenida El Manzano";"Tenencia";-71,5425863;-70,7353505
"106";"Tenencia Santa Adriana";"Lo Espejo";"Avenida Lo Ovalle";"Tenencia";-71,5425863;-70,7353505
